Campaign,Keyword,Match Type
A1 Handyman - Westchester - Urgency,bronx,Phrase
A1 Handyman - Westchester - Urgency,brooklyn,Phrase
A1 Handyman - Westchester - Urgency,queens,Phrase
A1 Handyman - Westchester - Urgency,staten island,Phrase
A1 Handyman - Westchester - Urgency,manhattan,Phrase
A1 Handyman - Westchester - Urgency,nyc,Phrase
A1 Handyman - Westchester - Urgency,new york city,Phrase
A1 Handyman - Westchester - Urgency,rockland,Phrase
A1 Handyman - Westchester - Urgency,putnam,Phrase
A1 Handyman - Westchester - Urgency,nassau,Phrase
A1 Handyman - Westchester - Urgency,long island,Phrase
A1 Handyman - Westchester - Urgency,new jersey,Phrase
A1 Handyman - Westchester - Urgency,connecticut,Phrase
